Plaviv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Babbov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thepar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crypa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hamham	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toxgon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichmul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxytri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Partet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stylem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetthe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Permar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enthis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dicdis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polpal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guithe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leibra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trycru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gialam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emihux	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naegru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monbre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sal_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
